Date,State,Cases
01-Feb-23,pennsylvania,32800
01-Feb-23,pennsylvania,2700
25-Jan-23,iowa,27700
20-Jan-23,colorado,70
19-Jan-23,california,20
19-Jan-23,washington,20
18-Jan-23,ohio,30
18-Jan-23,texas,70
12-Jan-23,california,23700
09-Jan-23,california,10
09-Jan-23,california,20
09-Jan-23,california,6
06-Jan-23,colorado,40
06-Jan-23,washington,120
30-Dec-22,michigan,30
30-Dec-22,washington,180
29-Dec-22,washington,40
22-Dec-22,california,32000
20-Dec-22,colorado,239700
19-Dec-22,california,20
16-Dec-22,california,20
16-Dec-22,colorado,1291000
14-Dec-22,minnesota,40
14-Dec-22,washington,1015500
12-Dec-22,iowa,51200
12-Dec-22,iowa,50000
12-Dec-22,iowa,90000
12-Dec-22,iowa,50000
12-Dec-22,minnesota,298100
09-Dec-22,colorado,11000
08-Dec-22,minnesota,10000
07-Dec-22,iowa,105000
07-Dec-22,iowa,40000
06-Dec-22,colorado,2
06-Dec-22,texas,40
05-Dec-22,iowa,40700
29-Nov-22,washington,24600
28-Nov-22,utah,3000
23-Nov-22,minnesota,44500
21-Nov-22,washington,90
18-Nov-22,utah,270
17-Nov-22,pennsylvania,30
16-Nov-22,california,34700
15-Nov-22,minnesota,28200
10-Nov-22,michigan,990
10-Nov-22,pennsylvania,18500
10-Nov-22,pennsylvania,160
08-Nov-22,iowa,20
08-Nov-22,pennsylvania,7500
08-Nov-22,pennsylvania,17400
08-Nov-22,washington,150
07-Nov-22,ohio,150
07-Nov-22,wisconsin,187900
06-Nov-22,iowa,1022800
04-Nov-22,pennsylvania,130
04-Nov-22,pennsylvania,14500
03-Nov-22,california,150
03-Nov-22,pennsylvania,28500
03-Nov-22,wisconsin,30
02-Nov-22,pennsylvania,20
02-Nov-22,wisconsin,10
01-Nov-22,minnesota,8500
31-Oct-22,iowa,1100000
31-Oct-22,minnesota,45600
27-Oct-22,minnesota,20100
27-Oct-22,minnesota,75000
26-Oct-22,colorado,20
25-Oct-22,minnesota,33800
25-Oct-22,utah,3900
21-Oct-22,minnesota,40
20-Oct-22,colorado,50
20-Oct-22,iowa,50
19-Oct-22,texas,50
19-Oct-22,utah,9400
18-Oct-22,utah,100800
17-Oct-22,pennsylvania,15100
14-Oct-22,colorado,40
14-Oct-22,colorado,20
13-Oct-22,california,54900
13-Oct-22,utah,100000
13-Oct-22,wisconsin,20
12-Oct-22,colorado,40
12-Oct-22,michigan,20
12-Oct-22,utah,52800
11-Oct-22,michigan,40
11-Oct-22,pennsylvania,2800
07-Oct-22,colorado,600
07-Oct-22,michigan,100
07-Oct-22,minnesota,30
07-Oct-22,utah,26700
07-Oct-22,utah,38900
05-Oct-22,pennsylvania,10
05-Oct-22,pennsylvania,40
04-Oct-22,california,43000
04-Oct-22,california,15100
04-Oct-22,pennsylvania,160
03-Oct-22,california,20
03-Oct-22,california,51000
03-Oct-22,michigan,140
03-Oct-22,ohio,50
03-Oct-22,utah,320
29-Sep-22,colorado,40
29-Sep-22,pennsylvania,180
29-Sep-22,pennsylvania,25900
29-Sep-22,utah,19300
29-Sep-22,utah,19900
29-Sep-22,wisconsin,79500
28-Sep-22,utah,24400
28-Sep-22,wisconsin,10000
27-Sep-22,minnesota,80
27-Sep-22,utah,127200
27-Sep-22,utah,36700
24-Sep-22,texas,60
22-Sep-22,minnesota,50
21-Sep-22,colorado,1150000
21-Sep-22,minnesota,5900
21-Sep-22,minnesota,116000
21-Sep-22,utah,11100
20-Sep-22,california,100
20-Sep-22,minnesota,43000
20-Sep-22,minnesota,64600
20-Sep-22,pennsylvania,1800
20-Sep-22,utah,73200
19-Sep-22,michigan,40
16-Sep-22,washington,30
15-Sep-22,california,15900
15-Sep-22,ohio,6
14-Sep-22,minnesota,4
14-Sep-22,minnesota,61400
14-Sep-22,minnesota,7900
14-Sep-22,ohio,2
14-Sep-22,ohio,60
13-Sep-22,michigan,20
13-Sep-22,minnesota,43700
13-Sep-22,minnesota,320
13-Sep-22,minnesota,69400
13-Sep-22,utah,5800
09-Sep-22,california,150
09-Sep-22,california,23900
09-Sep-22,minnesota,17100
08-Sep-22,minnesota,34200
07-Sep-22,minnesota,50200
03-Sep-22,ohio,640
03-Sep-22,ohio,3748500
02-Sep-22,wisconsin,120
01-Sep-22,california,22900
01-Sep-22,california,20
01-Sep-22,california,30800
01-Sep-22,minnesota,10
30-Aug-22,california,97000
30-Aug-22,california,7400
30-Aug-22,california,91000
30-Aug-22,minnesota,126400
30-Aug-22,minnesota,52000
