Week,Cases
2022-03-28/2022-04-03,8
2022-08-29/2022-09-04,3749140
2022-09-12/2022-09-18,68
2022-10-03/2022-10-09,50
2022-11-07/2022-11-13,150
2023-01-16/2023-01-22,30
2023-11-20/2023-11-26,1348900
2023-11-27/2023-12-03,33000
2023-12-04/2023-12-10,2628800
2023-12-11/2023-12-17,522300
2023-12-25/2023-12-31,1363900
2024-02-19/2024-02-25,10
2024-02-26/2024-03-03,140
