Date,State,Cases
22-Feb-24,maryland,30
21-Nov-23,maryland,192900
29-Nov-22,maryland,24600
22-Sep-22,maryland,4
18-Mar-22,maryland,315400
10-Mar-22,maryland,663400
08-Mar-22,maryland,139300
04-Mar-22,maryland,644000
